title,author,publisher,year,status,description,jury_rationale
Es geht uns gut,Arno Geiger,Carl Hanser Verlag,2005,Winner,"Philipp Erlach hat nie darüber nachgedacht, was es heißt, dass die Toten uns überdauern. Doch als er die alte Villa seiner Großmutter in der Wiener Vorstadt erbt, holt ihn seine Familiengeschichte ein: Liebesgeschichten und Todesfälle, Unrecht, Sprachlosigkeit und Missverständnisse. Arno Geiger erzählt von jenem traurigen und komischen letzten Jahrhundert, das auch in den Leben der Enkel noch nachschwingt.","Sechzig Jahre österreichische Geschichte, Anschluss, Krieg und Weiterleben lässt Arno Geiger in seinem beeindruckend dichten Drei-Generationen-Roman Es geht uns gut aufleben. In Episoden, jeweils aus einem Tag eines Jahres zusammengesetzt, entsteht ein Bild der Zeit und der Personen, die mit unterschiedlichem Geschick ihre Lebensgeschichten aufbauen oder zerstören. Geiger erzählt von Männern, die das große ganze Leben nicht verstehen und von Frauen, die sich überfordern. Und er gibt dem Roman durch die alte Alma Sterk Seele und Verstand."
42,Thomas Lehr,Aufbau-Verlag,2005,Shortlist,"Als an einem sonnigen Augusttag eine Besuchergruppe des Genfer Kernforschungszentrums CERN wieder ans Tageslicht tritt, ist ganz Europa in einen Dornröschenschlaf gefallen: Die Zeit steht still. Die 70 „Chronifizierten“ finden sich in einer traumatischen Situation aus Einsamkeit, Ohnmachtsgefühlen und mörderischen Auseinandersetzungen wieder, bis nach fünf Jahren die Weltzeit plötzlich für drei kostbare Sekunden weitertickt.","Thomas Lehrs ""42"" ist ein Roman, in den ich mich auf den ersten Blick verliebt habe. An Vielseitigkeit kaum zu überbieten: ein Thriller, eine Endzeitgeschichte, eine Variation auf menschliche Eitelkeiten und Begierden und gleichzeitig eine große Metapher des Stillstands und der Unfähigkeit des postmodernen Menschen, mit seiner Umgebung in natürliche Beziehungen zu treten. Das Ganze geschrieben in einer beeindruckenden, reichen, souveränen Sprache, die gewissermaßen die Arme ausbreitet und sagt: Komm her, setz dich hin, ich habe etwas zu erzählen. Ein Buch mit hoher Sogwirkung. Ich wünsche ihm und seinem Autor alles Gute."
Die Vermessung der Welt,Daniel Kehlmann,Rowohlt Verlag,2005,Shortlist,"Ende des 18. Jahrhunderts machen sich zwei junge Deutsche an die Vermessung der Welt. Während Alexander von Humboldt sich durch Urwald und Steppe kämpft, beweist der Mathematiker und Astronom Carl Friedrich Gauß auch im heimischen Göttingen, dass der Raum sich krümmt. Daniel Kehlmann beschreibt das Leben zweier Genies, ihre Gratwanderung zwischen Einsamkeit und Liebe, Lächerlichkeit und Größe, Scheitern und Erfolg.","Daniel Kehlmann führt zwei berühmte deutsche Naturwissenschaftler in einen virtuellen Wettstreit. Sie könnten unterschiedlicher nicht sein: Der Idealist, Abenteurer und Weltreisende Alexander von Humboldt und Carl Friedrich Gauß, Mathematiker und Astronom, ein eher skeptischer Zyniker, ein Stubenhocker, aber im Kopf weiter herumgekommen als sein Antipode. Eine leichtfüßige, intelligente und elegant geschriebene literarische Bildungsreise."
Dunkle Gesellschaft,Gert Loschütz,Frankfurter Verlagsanstalt,2005,Shortlist,"Thomas, den Binnenschiffer, hat es von den Flüssen weg in die niedersächsische Provinz verschlagen, wo ihn nachts die Unruhe aus dem Haus treibt. In zehn Regennächten erinnert er sich an Stationen der Reise, auf die ihn das Leben geschickt hat. Immer wieder ist er dabei schwarz gekleideten Leuten begegnet, eben jener dunklen Gesellschaft, vor der ihn schon sein Großvater gewarnt hatte.","""Dunkle Gesellschaft"" ist ein Roman der Erinnerung, der zugleich eine gänzlich andere Gegenwart auslotet. Gegen Ende seines Lebens verschlägt es Binnenschiffer Thomas in die deutsche Provinz; nachts treibt ihn die Unruhe um, das Nahen einer „dunklen Gesellschaft“. Das Unheimliche wird bei Loschütz nie mit Andeutungen abgehakt, sondern ist Teil einer Sprachmusik in Moll, die das Buch durchzieht: als Fluss in einer Landschaft, leer wie das Geschwätz der Politik. Diese hat dem Land die Seele geraubt, die der Autor ihm in seinem Roman neu einhaucht."
So sind wir,Gila Lustiger,Berlin Verlag,2005,Shortlist,"Ein Briefbeschwerer, Zeitungen, eine Puppe – inspiriert von persönlichen Gegenständen folgt die Erzählerin den Erinnerungsspuren ihrer Familie. Sie sind mitteleuropäische Juden, Opfer der Geschichte, und Schweiger, die über ein brilliantes Gedächtnis verfügen. In einer Fülle von Episoden, in denen Tragik und Komik eng verflochten sind, entfaltet sich auch die Geschichte des europäischen Judentums.","Gila Lustiger nähert sich in So sind wir behutsam der Figur ihres Vaters, des Schriftstellers Arno Lustiger, der als Jugendlicher ins KZ kam und den Holocaust überlebte. Es geht um die psychischen Auswirkungen, die das Erlebte auf die Familie hat, „eine Familie, die schonend über die Vergangenheit schweigt."" Obgleich diese zarte und kluge Annäherung an das Verschwiegene nur wenig fiktionalisiert sein dürfte, steht im Untertitel selbstbewusst ""Familienroman"" - zu Recht, denn dieses hervorragende Buch enthält den Stoff eines großen Romans."
Und ich schüttelte einen Liebling,Friederike Mayröcker,Suhrkamp Verlag,2005,Shortlist,"Nach dem Tod ihres Schreib- und Lebensgefährten hat Friederike Mayröcker ihre Erinnerungen und Träume, Gespräche und Zitate, Eindrücke und Beobachtungen gesammelt und – immer wieder neu – auf den fruchtbaren Augenblick gewartet, da Schreiben und Ernten in eins und die Sätze wie reife Früchte zu Papier fallen. Entstanden ist ein anrührend unkonventionelles Buch der Erinnerung, das zugleich ein großer Abschied ist.","Ein Buch der Erinnerung, der großen Angst vor dem Verlust des Schreibens, des Erzählens und des Vergessens. Ein Text der Trauer und der Liebe, von irritierender Intensivität - für mich ist Friederike Mayröckers Und ich schüttelte einen Liebling der berührendste Text über die Liebe seit langem. Und das existenziellste Buch der Nominierungsliste."
Die Habenichtse,Katharina Hacker,Suhrkamp Verlag,2006,Winner,"Isabelle und Jakob treffen sich am 11. September 2001. Sie heiraten und ziehen nach London, wo Jakob eine Stelle in einer Anwaltskanzlei antritt. Die beiden haben scheinbar alles, was ein junges, erfolgreiches Paar auszeichnet – und stehen doch mit leeren Händen da. Katharina Hacker erzählt meisterlich, wie sehr die Unfähigkeit zu Entscheidungen und Mitgefühl kollidiert mit der Sehnsucht nach existentiellen Erfahrungen.","Der Leser der „Habenichtse“ muss bereit sein, das Verschwinden von Gewissheiten zu ertragen, den Verlust des lebensrettenden Koordinatensystems angesichts großer Themen wie dem 11. September, dem Nationalsozialismus, dem Irakkrieg. Der Roman überhebt sich nicht, sondern führt uns durch sein kluges und differenziertes Personal souverän und auf hohem sprachlichen Niveau durch seine Geschichte."
Angstblüte,Martin Walser,Rowohlt Verlag,2006,Shortlist,"Karl von Kahn wird gebeten, den letzten Wunsch seines besten Freundes zu erfüllen, der im Sterben liegt. Karl zögert nicht, ein Vertrag wird unterschrieben, eine Firma ist verkauft. Stunden später geht es dem Freund viel besser. Da klingelt Kahns Telefon erneut: Er soll helfen, eine Verfilmung des «Othello» zu finanzieren. Ein Roman über Täuschungen und über Geld, über Freundschaft und Liebe.","„Bergauf beschleunigen“, das ist die Lebensdevise von Karl von Kahn, der wunderbaren Hauptfigur in Martin Walsers großem, ideenreichen Roman „Angstblüte“. Weil niemand radikaler über Geld, Sex und Unabhängigkeit schreibt als Walser und weil dieses Buch eine radikale Absage gegen den schwachsinnigen Altersrassismus in der Literatur und unserer Gesellschaft ist, steht es sehr zu Recht auf der Shortlist."
Der Weltensammler,Ilija Trojanow,Carl Hanser Verlag,2006,Shortlist,"Der britische Kolonialoffizier Sir Richard Burton (1821–1890) ist eine der ungewöhnlichsten Persönlichkeiten des 19. Jahrhunderts: Der Islam-Konvertit lebte mit einer Kurtisane, bereiste Asien, Afrika und den Nahen Osten und war ein Leben lang auf der Suche nach dem Wesen fremder Kulturen. Trojanow entwirft ein farbiges, vielstimmiges Porträt des Abenteurers und Exzentrikers, das zugleich hochaktuell ist.","„Der Weltensammler“ ist ein Abenteuer- und ein Reisebuch, aber auch ein ethnologischer Bericht, der sich im Zwischenbereich des Mysteriösen und des Geheimnisses aufhält. So stachelt er die Neugier des Lesers an. Man will nicht mehr loslassen, wenn es mit dem Helden durch drei Kontinente geht und wird hineingezogen in einen bunten Bilderbogen, der parfümiert ist mit einem sehr spannenden Hauch Exotik."
Neue Leben,Ingo Schulze,Berlin Verlag,2006,Shortlist,"Ostdeutsche Provinz, Januar 1990. Enrico Türmer, bisher Theatermann und heimlicher Schriftsteller, heuert bei einer Zeitung an und stürzt sich ins tätige Leben. Von dieser Wende in Zeiten des Umbruchs erzählen die Briefe Türmers, die er an drei geliebte Personen schreibt. Dabei entsteht, wovon Türmer so lange geträumt hat: der Roman seines Lebens. Schulze entwirft ein Panorama von der Geburtsstunde unserer heutigen Zeit.","Mich hat das Vorhaben des Autors beeindruckt, etwas noch morgen Gültiges über eine große Zeitenwende zu sagen. Dies tut er mit literarischen Mitteln, die umso raffinierter sind, je einfacher sie scheinen. Schulze schreibt nicht sentimental, anekdotisch oder reißerisch, sondern schildert die Wende als eine Reihe von Alltagsereignissen. Das macht „Neue Leben“ zum bisher einzigen gelungenen Wenderoman."
